ticker,issuer_cik,accession_number,filing_date,form,filer_name,filer_cik,beneficial_owner_name,ownership_percent,shares_beneficially_owned,sole_voting_power,shared_voting_power,sole_dispositive_power,shared_dispositive_power,type_of_reporting_person,active_or_passive_classification,amendment_number,event_date,purpose_of_transaction,parse_status,error_message
UNKNOWN,0001045810,0002100119-26-000017,2026-04-28,SCHEDULE 13G,With,,,,,,,,,,passive,,,of or with the effect of changing or influencing the control of the issuer of the securities and were not acquired and are not held in connection with or as a participant in any transaction having tha,partial,
UNKNOWN,0001045810,0000102909-26-000426,2026-03-26,SCHEDULE 13G/A,With,,,,,,,,,,passive,1,,of or with the effect of changing or influencing the control of the issuer of the securities and were not acquired and are not held in connection with or as a participant in any transaction having tha,partial,
UNKNOWN,0001045810,0000102909-26-000226,2026-01-30,SCHEDULE 13G/A,With,,,,,,,,,,passive,1,,of or with the effect of changing or influencing the control of the issuer of the securities and were not acquired and are not held in connection with or as a participant in any transaction having tha,partial,
UNKNOWN,0001045810,0001045810-26-000008,2026-01-26,SCHEDULE 13G/A,With,,,,,,,,,,passive,1,,of or with the effect of changing or influencing the control of the issuer of the securities and were not acquired and are not held in connection with or as a participant in any transaction having tha,partial,
UNKNOWN,0001045810,0001045810-25-000103,2025-05-15,SCHEDULE 13G,With,,,,,,,,,,passive,,,,partial,
UNKNOWN,0001045810,0001045810-25-000014,2025-02-14,SCHEDULE 13G/A,With,,,,,,,,,,passive,1,,of or with the effect of changing or influencing the control of the issuer of the securities and were not acquired and are not held in connection with or as a participant in any transaction having tha,partial,
UNKNOWN,0001045810,0000315066-24-002826,2024-11-12,SC 13G/A,has ceased to be the beneficial owner of more,,of more,4.069%,,,,,,,passive,1,,of or with,success,
UNKNOWN,0001045810,0001045810-24-000230,2024-07-18,SC 13G,"has ceased to be the beneficial owner of more than five percent of the class of securities, check the following",,"of more than five percent of the class of securities, check the following",,,,,,,,passive,,,of Section,partial,
UNKNOWN,0001045810,0001104659-24-021596,2024-02-13,SC 13G/A,with,,of more than,,,,,,,,passive,1,,of Section,partial,
UNKNOWN,0001045810,0000315066-24-001331,2024-02-09,SC 13G/A,,,,5.176%,,,,,,,passive,1,,of,partial,
UNKNOWN,0001045810,0001086364-24-004712,2024-01-26,SC 13G/A,with,,of more than,7.3%,,162856513,0,180593555,0,HC,passive,1,,of Section,success,
UNKNOWN,0001045810,0000315066-23-001987,2023-02-09,SC 13G/A,,,,5.637%,,,,,,,passive,1,,of,partial,
UNKNOWN,0001045810,0001104659-23-016606,2023-02-09,SC 13G/A,with,,of more than,,,,,,,,passive,1,,of Section,partial,
UNKNOWN,0001045810,0001306550-23-005055,2023-01-31,SC 13G/A,with,,of more than,7.3%,,161356024,0,179816144,0,HC,passive,1,,of Section,success,
